Title,Year,Number of Songs,Film Director,Film Producer,Film cast,Lyricist,Music Director,Singer,External links,Watch Full Movie
Vapsi Saajan Ki,(1995),7,,Atiq Rehman,"Shoeb Khan, Ashwini Bhave, Rashid, Mili, Gulshan Grover, Parikshat Sahni, Pran",Azaad,"Anand Chitragupt, Milind Chitragupt","Abhijeet, Alka Yagnik, Mohammad Aziz, Mukul Agrawal, Poornima, Sadhana Sargam, Sapna Mukherjee, Suresh Wadkar, Udit Narayan",https://www.imdb.com/title/tt0400917,https://www.youtube.com/watch?v=F3YZIKO9G3A
Vijaypath,(1994),8,Farouq Siddique,Dhirajlal Shah,"Ajay Devgn, Tabu, Suresh Oberoi, Reema Lagoo, Gulshan Grover, Danny Denzongpa, Vikas Anand, Cheetah Yagnesh Shetty, Anant Jog, Silk Smita, Gurbachan, Ram Mohan, Brijesh, Master Sunny, Aparajita","Anwar Sagar, Faiz Anwar, Indeevar, Shaily Shailender, Shyam Anuragi",Anu Malik,"Alisha Chinoy, Alka Yagnik, Anu Malik, Kumar Sanu, Poornima, Sadhana Sargam","https://www.imdb.com/title/tt0111625, http://en.wikipedia.org/wiki/Vijaypath",https://www.youtube.com/watch?v=xq_FsK02FBI
Vishwaroop,(2013),5,Kamal Haasan,"Prasad V. Potluri, S. Chandra Hasan, Kamal Haasan","Kamal Haasan, Pooja Kumar, Shekhar Kapur, Rahul Bose, Andrea Jeremiah, Jaideep Ahlawat, Nasser, Zarina Wahab, Atul Tiwari",Javed Akhtar,"Shankar Mahadevan, Ehsaan Noorani, Loy Mendonsa",,"https://www.imdb.com/title/tt2199711, http://en.wikipedia.org/wiki/Vishwaroop",
Vishwatma,(1992),15,Rajiv Rai,Gulshan Rai,"Sunny Deol, Chunky Pandey, Divya Bharti, Naseruddin Shah, Amrish Puri, Gulshan Grover, Sonam, Sharat Saxena, Mangal Dhillon, Kiran Kumar, Raza Murad, Dalip Tahil, Mahesh Anand, Aparajita, Vijay Arora, Dinesh Hingoo, Alok Nath, Yunus Parvez, Dan Dhanoa, Kiran Juneja, Tej Sapru",Anand Bakshi,Viju Shah,"Alka Yagnik, Amit Kumar, Boney Kapoor, Jolly Mukherjee, Kumar Sanu, Mohammad Aziz, Naseruddin Shah, Sadhana Sargam, Sapna Mukherjee, Udit Narayan","https://www.imdb.com/title/tt0130350, http://en.wikipedia.org/wiki/Vishwatma","https://www.youtube.com/watch?v=EEAaAfz5-00, https://www.youtube.com/watch?v=EGWiJN7AzrY"
Vaada,(2005),10,Satish Kaushik,"Pooja Bhatt, Vashu Bhagnani","Arjun Rampal, Amisha Patel, Zayed Khan, Alok Nath, Rakesh Bedi, Virendra Saxena, Sharat Saxena, Sarfaraz Khan, Anjan Srivastava, Rajesh Vivek, Achyut Potdar, Anil Saxena, Kuldip Sharma",Sameer,Himesh Reshammiya,"Alka Yagnik, Anuradha Sriram, Babul Supriyo, Kailash Kher, Kavita Seth, Kumar Sanu, Sangeeta, Shaan, Sunidhi Chauhan, Udit Narayan","https://www.imdb.com/title/tt0442855, http://en.wikipedia.org/wiki/Vaada_%28film%29",https://www.youtube.com/watch?v=TJ3_OsXZhHc
Waqt,(1965),8,Yash Chopra,B. R. Films,"Sunil Dutt, Sadhana, Raaj Kumar, Madan Puri, Balraj Sahni, Rahman, Shashi Kapoor, Sharmila Tagore",Sahir Ludhianvi,Ravi,"Asha Bhosle, Mahendra Kapoor, Manna Dey, Mohammed Rafi","https://www.imdb.com/title/tt0059893, http://en.wikipedia.org/wiki/Waqt_%281965_film%29","https://www.youtube.com/watch?v=nLXj4Ez8X0Y, https://www.youtube.com/watch?v=b3-8w31Famo"
Woh Kaun Thi,(1964),6,Raj Khosla,N N Sippy,"Manoj Kumar, Sadhana, Helen, Prem Chopra, K N Singh, Mohan Choti, Dhumal, Raj Mehra, Ratna Mala, Parveen Choudhary, Paul Sharma, Satish, Anwaribai, Prakash, Indira Bansal, Balram, Sudesh",Raja Mehdi Khan,Madan Mohan,"Asha Bhosle, Lata Mangeshkar, Madan Mohan, Mahendra Kapoor","https://www.imdb.com/title/tt0232960, http://en.wikipedia.org/wiki/Woh_Kaun_Thi","https://www.youtube.com/watch?v=FbrzdSDTEFY, https://www.youtube.com/watch?v=vfcpd5PH22M"
Waisa Bhi Hota Hai Part II,(2003),8,Shashank Ghosh,"Rahul Misra, Samir Gupta","Arshad Warsi, Prashant Narayanan, Sandhya Mridul, Pratima Kazmi, Mahima Choudhary, Maria Goretti, Anant Jog, Kurush Deboo, Suresh Dubey, Roma Sen Gupta, Suchitra Pillai","Abhinay Dhar, Vishal Dadlani, Sadaqat Hussain, Virag Mishra	","Abhinay Dhar, Vishal - Shekhar, Shibani Kashyap, Saibal Basu","Kailash Kher, Bali Brahmbhatt, Shibani Kashyap, Sunidhi Chauhan","https://www.imdb.com/title/tt0387678, http://en.wikipedia.org/wiki/Waisa_Bhi_Hota_Hai_Part_II",https://www.youtube.com/watch?v=fzRAHN4GzVA
Wanted,(2009),12,Prabhu Dheva,Boney Kapoor,"Salman Khan, Ayesha Takia Azmi, Mahesh Manjrekar, Asseem Merchant, Sajid, Vinod Khanna, Mahek Chhal, Prakash Raj, Anil Kapoor, Govinda, Prabhu Dheva, Inder Kumar, Govind Namdeo, Manoj Pahwa, Sarfaraz Khan, Prateeksha Lonkar, Raju Mavani, Vijay Patkar, Mushtaq Khan, Anupam Shyam, Harry Josh","Arun Bhairav, Jalees Sherwani, Salman Khan, Sameer, Shabbir Ahmed, Wajid","Sajid, Wajid","Amrita Kak, Earl, Hrishikesh Kamerkar, Kamaal Khan, Nikita Nigam, Salman Khan, Shaan, Shreya Ghoshal, Soumya Raoh, Sunidhi Chauhan, Suzanne D'Mello, Wajid","https://www.imdb.com/title/tt1084972, http://en.wikipedia.org/wiki/Wanted_%282009_film%29",https://www.youtube.com/watch?v=Kr4ZcGkwqoc
Wapas,(1969),6,Satyen Bose,,"Ajay, Alka, Satyajit Puri, Azra, Leela Mishra, Jankidas, Shekhar Purohit, Parveen Paul",Majrooh Sultanpuri,"Laxmikant Kudalkar, Pyarelal","Lata Mangeshkar, Mohammed Rafi",https://www.imdb.com/title/tt0157168,"https://www.youtube.com/watch?v=mSlms_aWTjg, https://www.youtube.com/watch?v=u0jv0AXOzhU"
Waqt - Race Against Time,(2005),7,Vipul Shah,Vipul Shah,"Amitabh Bachchan, Akshay Kumar, Priyanka Chopra, Boman Irani, Rajpal Yadav, Shefali Chhaya, Anu Malik, Benjamin Gilani","Aatish Kapadia, Sameer","Anu Malik, Aatish Kapadia","Adnan Sami, Alka Yagnik, Anu Malik, Kailash Kher, Mahalakshmi Iyer, Sonu Nigam, Sudesh Bhosle, Sunidhi Chauhan, Udit Narayan","https://www.imdb.com/title/tt0390614, http://en.wikipedia.org/wiki/Waqt_%282005_film%29",
Warrant,(1975),4,Pramod Chakravorty,N P Singh,"Dev Anand, Zeenat Aman, Pran, Ajit, Dara Singh Randhawa, Satish Kaul, Madan Puri, Birbal, Arpana Choudhary, Jankidas, Joginder, Seema Kapoor, Viju Khote, Lalita Pawar, Sulochana, Sujit Kumar, Habib, Bunty, Jadish Raj, Shetty",Anand Bakshi,R D Burman,"Lata Mangeshkar, Kishore Kumar","https://www.imdb.com/title/tt0158356, http://en.wikipedia.org/wiki/Warrant_%281975_film%29",
Welcome,(2007),6,Anees Bazmee,Firoz Nadiadwala,"Feroz Khan, Anil Kapoor, Nana Patekar, Akshay Kumar, Katrina Kaif, Mallika Sherawat, Paresh Rawal, Supriya Karnik, Vijay Raaz, Mushtaq Khan, Adi Irani, Shereveer Vakil, Malaika Arora, Suniel Shetty, Ranjeet, Sanjay Mishra, Asrani, Paresh Ganatra, Snehal Dhabi, Swatantra Bharat, Rakesh Shrivastav, Harry Josh","Anand Raj Anand, Anjaan Sagari, Ibrahim Ashq, Sameer, Shabbir Ahmed","Sajid, Wajid, Anand Raj Anand, Himesh Reshammiya","Akruti Kakkar, Anand Raj Anand, Himesh Reshammiya, Kalpana, Krishna, Shaan, Shankar Mahadevan, Shreya Ghoshal, Shweta Pandit, Soumya Raoh, Wajid","https://www.imdb.com/title/tt0488798, http://en.wikipedia.org/wiki/Welcome_%28film%29",https://www.youtube.com/watch?v=fsUq8vccMac
Wake Up Sid,(2009),8,Ayan Mukerji,"Karan Johar, Hiroo Johar","Ranbir Kapoor, Konkona Sen Sharma, Rahul Khanna, Anupam Kher, Shikha Talsania, Supriya Pathak, Namit Das, Kashmera Shah, Rahul Pendkalkar, Shruti Bapna, Kainaz Motivala",Javed Akhtar,"Loy Mendonsa, Amit Trivedi, Shankar Mahadevan, Ehsaan Noorani","Shankar Mahadevan, Clinton Cerejo, Dominique Cerejo, Loy Mendonsa, Kavita Seth, Amitabh Bhattacharya, Uday Benegal","https://www.imdb.com/title/tt1324059, http://en.wikipedia.org/wiki/Wake_Up_Sid",https://www.youtube.com/watch?v=2wUHXReFEtU
Waris,(1954),10,Nitin Bose,Minerva Movietone,"Suraiya, Nadira, Jagdish Sethi, Yakub, Sadat Ali, Achla Sachdev, Talat Mahmood, Roopmala",Majrooh Sultanpuri,Anil Biswas,"Asha Bhosle, Rajkumari, Suraiya, Talat Mahmood",https://www.imdb.com/title/tt0157170,"https://www.youtube.com/watch?v=6TU9kvh8vWQ, https://www.youtube.com/watch?v=_n8h5tHSy8s"
Whats Your Raashee,(2009),13,Ashutosh Gowariker,"Ronnie Screwvala, Sunita Gowariker","Harman Baweja, Anjan Srivastava, Visshwa Badola, Rajesh Vivek, Dilip Joshi, Darshan Jariwala, Honey Chhaya, Daya Shanker Pandey, Pratik Dixit, Geeta Tyagi, Pramod Moutho, Yuri Suri, Priyanka Chopra, Manju Singh, Bhairavi Vaidya, Manoj Shah",Javed Akhtar,Sohail Sen,"Alka Yagnik, Ashutosh Gowariker, Aslesha Gowariker, Bela Shende, Harman Baweja, Madhushree, Marianne D'Cruz, Pamela Jain, Shaan, Sohail Sen, Tarannum, Udit Narayan","https://www.imdb.com/title/tt1242530, http://en.wikipedia.org/wiki/What%27s_Your_Raashee%3F",
Wafaa,(2008),8,Rakesh Sawant,"K K Agarwal, Rajesh Agarwal","Rajesh Khanna, Sara Khan, Sudesh Berry, Saahib, Tinu Anand",Shab Ilhabadi,"Ravi Pawar, Sayed Ahmed","Aftab Hashmi Sabri, Akruti Kakkar, Hashim Sabri, Jaya Piyush, Kailash Kher, Kalpana, Kumar Sanu, Mika Singh, Pronali Chaliha, Rahul Vaidya, Sunidhi Chauhan, Udit Narayan","https://www.imdb.com/title/tt1372304, http://en.wikipedia.org/wiki/Wafa:_A_deadly_love_story",https://www.youtube.com/watch?v=IBa8ywASxRE
Wazir,(2016),7,Bejoy Nambiar,Vidhu Vinod Chopra,"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, John Abraham, Neil Nitin Mukesh, Manav Kaul","Vidhu Vinod Chopra, Swanand Kirkire, A.M. Turaz, Abhijeet Deshpande","Shantanu Moitra, Prashant Pillai, Advaita","Shreya Ghoshal, Sonu Nigam, Javed Ali, Gagan Baderiya, Prashant Pillai","https://www.imdb.com/title/tt0315642, https://en.wikipedia.org/wiki/Wazir_%28film%29",
Woh Phir Aayegi,(1988),5,B R Ishara,Jay Mehta,"Rajesh Khanna, Farha, Moon Moon Sen, Asha Lata, Jaaved Jaaferi, Archana Puran Singh, Shekhar Suman, Viju Khote",Sameer,"Anand Chitragupt, Milind Chitragupt","Amit Kumar, Anuradha Paudwal, Janaki",https://www.imdb.com/title/tt0230978,https://www.youtube.com/watch?v=PSMq9LO8jNY
Wajahh,(2004),8,Gautam Adhikari,"Anand Pandit, Markand Adhikari","Arbaaz Khan, Shamita Shetty, Gracy Singh, Zulfi Syed, Satish Kaushik, Sudesh Berry, Daler Mehndi, Vijayendra Ghatge, Zahid Ali","Anand Raj Anand, Praveen Bharadwaj",Anand Raj Anand,"Kunal Ganjawala,  Daler Mehndi, Shreya Ghoshal, Anand Raj Anand, Bob, Sunidhi Chauhan",https://www.imdb.com/title/tt0439872,https://www.youtube.com/watch?v=Ww2h1DYOa4E
Wajood,(1998),6,N Chandra,N Chandra,"Mukul Dev, Madhuri Dixit, Nana Patekar, Ramya, Rajeev Varma, Tej Sapru, Johny Lever, Gulzar, Jagdeep, Kunika, Shivaji Satam, Maya Alagh, Sanjay Mishra, Parikshat Sahni, G P Singh",Javed Akhtar,Anu Malik,"Alka Yagnik, Kumar Sanu, Kavita Krishnamurthy, Sapna Mukherjee, Udit Narayan, Nana Patekar","https://www.imdb.com/title/tt0287111, http://en.wikipedia.org/wiki/Wajood","https://www.youtube.com/watch?v=oPiytavrXlE, https://www.youtube.com/watch?v=pnbckyrax5A"
Wardat,(1981),6,Ravikant Nagaich,Ravikant Nagaich,"Mithun Chakraborty, Kajal Kiran, Kalpana Iyer, Iftekhar, Shakti Kapoor, Jagdeep, Keshto Mukherjee, Birbal",Ramesh Pant,Bappi Lahiri,"Usha Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0246322, http://en.wikipedia.org/wiki/Wardat_(1981_film)","https://www.youtube.com/watch?v=a5STJL7ay18, https://www.youtube.com/watch?v=HfLIK6NzLpA"
Woh Lamhe,(2006),7,Mohit Suri,Mukesh Bhatt,"Kangna Ranaut, Shiney Ahuja, Shaad Randhawa, Masumeh Makhija, Purab Kohli, Anita Wahi, Ram Prakash, Preeti Kopikar, Abbas, Nilofer, Neeraj Khetrapal, Sandeep Sikand, Sanjeev Vaid, Rishi Prasad, Ashfaque Hussain, Sunil Bob, Candida","Nilesh Mishra, Sayeed Qadri","Pritam Chakraborty, Roop Kumar Rathod","Glenn John, James, Jawad Ahmad, K K, Kunal Ganjawala, Shreya Ghoshal","https://www.imdb.com/title/tt0833561, http://en.wikipedia.org/wiki/Woh_Lamhe",
W,(2014),5,Tarun Madan Chopra,"Subhash Sehgal, Shivang Sehgal","Leeza Mangaldas, Raaj Singh Arora, Lezlie Tripathy, Danish Pandor, Sonal Giani, Meer Ali, Gagan Sharma, Amal Malik, Armaan Malik, Abhay Jit Attri, Gagan Gupta, Malkit Singh",Dabboo Malik,Dabboo Malik,,"https://www.imdb.com/title/tt3166542, http://en.wikipedia.org/wiki/W_%282014_film%29",
Waah Tera Kya Kehna,(2002),6,Manoj Agarwal,Sibte Hasan Rizvi,"Govinda, Raveena Tandon, Preeti Jhangiani, Kader Khan, Shammi Kapoor, Mohnish Behl, Shakti Kapoor, Rana Jung Bahadur, Navneet Nishan, Supriya Karnik, Aashish Vidyarthi, Anil Dhawan, Anju Mahendroo, Rakesh Bedi, Raju Shrivastava, Tej Sapru, Razzak Khan, Viju Khote, Rajat Bedi",Sameer,"Jatin Pandit, Lalit Pandit","Sudesh Bhosle, Anuradha Sriram, Govinda, Shweta Pandit, Abhijeet, Udit Narayan, Alka Yagnik, Roop Kumar Rathod, Kavita Krishnamurthy","https://www.imdb.com/title/tt0339878, http://en.wikipedia.org/wiki/Waah!_Tera_Kya_Kehna",https://www.youtube.com/watch?v=srJt6IZyiso
X: Past Is Present,(2015),9,"Abhinav Shiv Tiwari, Anu Menon, Hemant Gaba, Nalan Kumaraswamy, Pratim D. Gupta, Raja Sen, Rajs",Manish Mundra,"Aditi Chengappa, Bidita Bag, Gabriella Schmidt, Huma Qureshi, Neha Mahajan, Parno Mitra, Piaa Bajpai, Pooja Ruparel, Radhika Apte, Richa Shukla, Swara Bhaskar, Anshuman Jha, Rajat Kapoor","Pratyush Prakash,  Raja Sen",Maitreya,,https://www.imdb.com/title/tt5207116,
Xcuse Me,(2003),6,N Chandra,N Chandra,"Sharman Joshi, Saahil Khan, Jaya Seal, Mushtaq Khan, Sudhir Dalvi, Snehal Dhabi, Saurabh Shukla, Darshan Jariwala",Abbas Katka,"Darshan, Sanjeev","Shaan, Shreya Ghoshal, Abhijeet, Sunidhi Chauhan, Hema Sardesai, Darshan, Sanjeev, Udit Narayan","https://www.imdb.com/title/tt0383719, http://en.wikipedia.org/wiki/Xcuse_Me",
Xsuie (Album),(2009),7,,,,,Lucky Ali,Lucky Ali	,,
,,0,Ken Ghosh,"Ekta Kapoor, Shobha Kapoor",Kyra Dutt,,,,http://en.wikipedia.org/wiki/XXX_%282015_film%29,
,,0,,,,"Shabbir Ahmed, Alka Khan",Raaj Aashoo,"Swati Sharrma, Dev Negi, Samiir","https://www.imdb.com/title/tt8028076/, https://en.wikipedia.org/wiki/X_Ray:_The_Inner_Image",
Yaadon Ki Baarat,(1973),7,Nasir Hussain,Nasir Hussain,"Dharmendra, Zeenat Aman, Vijay Arora, Tariq, Neetu Singh, Ajit, Jalal Aga, Aamir Khan, Ashoo, Satyen Kappu, Shetty, Anamika, Imtiaaz Khan, Amarnath, Murad, Indu Shivraj",Majrooh Sultanpuri,R D Burman,"Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Mohammed Rafi, Padmini, R D Burman, Shivangi","https://www.imdb.com/title/tt0070935, http://en.wikipedia.org/wiki/Yaadon_Ki_Baarat",https://www.youtube.com/watch?v=Wn5iuDi3OC8
Yaar Mera,(1971),5,Atma Ram,"Raja Ram, Satish Wagle","Jeetendra, Rakhee, Nazima, Jayant, Helen, Manmohan, Paintal, Sajjan","Hasrat Jaipuri, S. H. Bihari, Neeraj",Shankar Jaikishan,"Mohd. Rafi, Suman Kalyanpur, Asha Bhosle, Manna Dey",https://www.imdb.com/title/tt0155397,
Yaarana,(1981),6,Rakesh Kumar,H A Nadiadwala,"Amitabh Bachchan, Neetu Singh, Tanuja, Amjad Khan, Kader Khan, Aruna Irani, Jeevan, Ranjeet, Bharat Bhushan, Viju Khote, Lalita Pawar, Ram Sethi",Anjaan,Rajesh Roshan,"Mohammed Rafi, Kishore Kumar","https://www.imdb.com/title/tt0083349, http://en.wikipedia.org/wiki/Yaarana_%281981_film%29","https://www.youtube.com/watch?v=nsvhFlbVMw4, https://www.youtube.com/watch?v=lcm8f4mVm6Y"
Yahudi,(1958),8,Bimal Roy,,"Dilip Kumar, Meena Kumari, Nazir Hasain, Sohrab Modi, Nigar Sultana, Anwar Hussan, Helen, Murad, Tiwari, Cuckoo, Minu Mumtaz, Naaz, Kamala","Hasrat Jaipuri, Shailendra","Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Geeta Dutt, Lata Mangeshkar, Mohammed Rafi, Mukesh","https://www.imdb.com/title/tt0052411, http://en.wikipedia.org/wiki/Yahudi","https://www.youtube.com/watch?v=H5rX_lacp0g, https://www.youtube.com/watch?v=clAeFeuzw4w"
Yeh Raat Phir Na Ayegi,(1966),8,Brij,,"Biswajeet, Sharmila Tagore, Mumtaz, Asit Sen, Prithviraj Kapoor, Sailesh Helen, Helen, B M Vyas, Madhumati","Aziz Kashmiri, S H Bihari",O P Nayyar,"Asha Bhosle, Mahendra Kapoor, Mohammed Rafi",https://www.imdb.com/title/tt0061206,"https://www.youtube.com/watch?v=CLmwOGFoc_U, https://www.youtube.com/watch?v=jcwUdahjmbY"
Yuva,(2004),6,Mani Ratnam,"G Srinivasan, Mani Ratnam","Ajay Devgn, Abhishek Bachchan, Vivek Oberoi, Kareena Kapoor, Rani Mukherjee, Esha Deol, Om Puri, Vijay Raaz, Anant Nag, Sonu Sood, Saurabh Shukla",Mehboob Khan,A R Rahman,"A R Rahman, Adnan Sami, Alka Yagnik, Karthik, Lucky Ali, Madhushree, Mehboob Khan, Shaheen Badar, Sunitha Sarathy, Tanvi","https://www.imdb.com/title/tt0382383, http://en.wikipedia.org/wiki/Yuva",
Yuvvraaj,(2008),9,Subhash Ghai,Subhash Ghai,"Salman Khan, Anil Kapoor, Katrina Kaif, Zayed Khan, Boman Irani, Mithun Chakraborty, Aushima Sawhney, Subhash Ghai, Anjan Srivastava, Javed Sheikh, Sulbha Arya, Aparna Kumar, Bhupinder Singh, Jacqueline Grewal, Chinmay Patwardhan, Amrit Maghera, Shehnaz Anand",Gulzar,A R Rahman,"A R Rahman, Alka Yagnik, Benny Dayal, Clinton Cerejo, Javed Ali, Karthik, Naresh Iyer, Roop Kumar Rathod, Salman Khan, Shreya Ghoshal, Sonu Nigam, Srinivas, Sunaina, Suzanne D'Mello, Vijay Prakash, Vivinenne Pocha","https://www.imdb.com/title/tt1105747, http://en.wikipedia.org/wiki/Yuvvraaj",
Yahan Wahan,(1984),4,Rajat Rakshit,Usman Khan,"Farooq Sheikh, Surinder Kaur, Rajesh Puri, Aruna Irani, Dina Pathak, Jagdeep","Indeevar, Prem Warbartani","Govindprasad Jaipurwala, Kalyanji Anandji","Suresh Wadkar, Alka Yagnik, Nina, Rajendra Mehta",https://www.imdb.com/title/tt0374343,"https://www.youtube.com/watch?v=aMH5D7_T0UQ, https://www.youtube.com/watch?v=QQ45J85CtiU"
Yeh Lamhe Judaai Ke,(2004),8,Birendra Nath Tiwari,Ritesh G Nayyar,"Shahrukh Khan, Raveena Tandon, Amit Kumar, Divya Desai, Mohnish Bahl, Kiran Kumar, Deepak Parashar, Avtar Gill, Navneet Nishan, Deven Bhojani","S. R. Bharti, Rani Malik","Nikhil, Vinay","Kumar Sanu, Sadhana Sargam, Asha Bhosle, Alka Yagnik, Shaan, Udit Narayan","https://www.imdb.com/title/tt0385351, http://en.wikipedia.org/wiki/Yeh_Lamhe_Judaai_Ke",
Youngistaan,(2014),8,Syed Ahmad Afzal,Vashu Bhagnani,"Jackky Bhagnani, Neha Sharma, Farooq Sheikh, Boman Irani, Kayoze Irani, Meeta Vasisht","Sanamjeet,       Syed Ahmad Afzal,      Hard Kaur,     Sneha Khanwalkar,    Jackky Bhagnani,    Kausar Munir,  Sonny Ravan","Jeet Ganguly, Sneha Khanwalkar, Shiraz Uppal, Shree Isshq",,"https://www.imdb.com/title/tt3514330, http://en.wikipedia.org/wiki/Youngistaan",https://www.youtube.com/watch?v=4cuYEKOjt4g
Yaar Meri Zindagi,(2008),6,,,"Amitabh Bachchan, Shatrughan Sinha, Sharda, Sudha Chandran","Majrooh Sultanpuri , Surendra Saathi",R D Burman,"Asha Bhosle , Sadhana Sargam , Yunus , Ranjana Joglekar",https://www.imdb.com/title/tt1217608,"https://www.youtube.com/watch?v=kpNtc9JVpr0, https://www.youtube.com/watch?v=t8og2XbWi8U"
Yaariyan,(2014),13,Divya Khosla Kumar,"Bhushan Kumar, Kishan Kumar","Himansh Kohli, Serah Singh, Nicole Faria, Dev Sharma, Rakul Preet, Evelyn Sharma, Shreyas Pardiwalla, Sayali Bhagat, Deepti Naval, Gulshan Grover, Smita Jaykar, Yo Yo Honey Singh","Irshad Kamil,     Amitabh Bhattacharya,   Arko Pravo Mukherjee,   Mithoon,  Yo Yo Honey Singh","Pritam Chakraborty, Mithoon, Yo Yo Honey Singh, Arko Pravo Mukherjee, Anupam Amod","Yo Yo Honey Singh,   Benny Dayal,   Shefali Alvares,  Mohammed Irfan,   Gajendra Verma,  Neha Kakkar,  Shafqat Amanat Ali,  Arijit Singh,   Monali Thakur,  K K,  Vishal Dadlani,  Tulsi Kumar,  Anupam Amod","https://www.imdb.com/title/tt3382148, https://en.wikipedia.org/wiki/Yaariyan_%282014_film%29",
Yeh Dooriyan,(2011),14,Deepshikha,Deepshikha,"Deepshikha, Kaishav Arora, Ayub Khan, Inder Kumar, Salman Khan, Achint Kaur, Rajesh Khera, Chitrashi Rawat, Kunika, Delnaz Paul","Shabbir Ahmed, Priya Panchal, Kumaar, Kanwar Juneja","Amjad Nadeem, Meet Bros Anjjan, Raju Singh","Shweta Pandit, Omer Nadeem, Mika Singh, Shaan, Gunjan, Akruti Kakkar, Krishna, Kavita Seth, Ramji Gulati, Dj Aj, Dj Chirag, Dj Lijo, Dj Shadow","https://www.imdb.com/title/tt1826051, http://en.wikipedia.org/wiki/Yeh_Dooriyan",
Yeh Jawaani Hai Deewani,(2013),9,Ayan Mukerji,"Karan Johar, Hiroo Johar","Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur, Kunaal Roy Kapur, Kalki Koechlin, Poorna Jagannathan, Navin Kaushik, Madhuri Dixit",Amitabh Bhattacharya,Pritam Chakraborty,"Benny Dayal,  Shefali Alvares","https://www.imdb.com/title/tt2178470, http://en.wikipedia.org/wiki/Yeh_Jawaani_Hai_Deewani",
Yaad Piya Ki Aane Lagi (album),(2000),10,,,,,,Falguni Pathak,,
Yaadgaar,(1970),6,S Ram Sharma,S Ram Sharma,"Manoj Kumar, Nutan, Kamini Kaushal, Pran, Prem Chopra, Madan Puri, Asit Sen, Sahmmi, Mohan Choti, Jay Shree T, Tiwari, Laxmi Chhaya, Jr Mehmood","Indeevar, Varma Malik","Kalayanji, Anandji","Lata Mangeshkar, Mahendra Kapoor, Manhar Udhas, Nutan","https://www.imdb.com/title/tt0066589, http://en.wikipedia.org/wiki/Yaadgaar","https://www.youtube.com/watch?v=AyD-M3tycr0, https://www.youtube.com/watch?v=gp_ee1Hlvz8"
Yaadon Ke Mausam,(1990),7,,,,Salahuddin Parvez,"Anand, Milind","Mohammad Aziz, Anuradha Paudwal, Amit Kumar, Vijay Benedict, Bhupinder Singh, Suresh Oberoi, Suresh Wadkar",https://www.imdb.com/title/tt2741948,
Yaar Ka Deedar Chahiye,(1999),8,,,,,,Ram Shankar,,
Yash,(1996),7,Sharad Saran,Sushil Kumar Agarwal,"Bijoy A, Kartika R, Sonu Walia, Parikshat Sahni, Dilip Dhawan, Mangal Dhillon","Rajan Johri, Rajesh",Tabun Sutradhar,"Abhijeet, Alisha Chinoy, Jojo Khan, Kumar Sanu, Sadhana Sargam, Udit Narayan","https://www.imdb.com/title/tt0870221, http://en.wikipedia.org/wiki/Yash_%28film%29",
Yeh Preet Na Hogi Kam,(1986),5,Sheetal,Sheetal,"Ravindra M Sheetal, Kiran Kumar, Priti Ganguly",Sheetal,Ravi,"Mahendra Kapoor, Chandrani Mukherjee, Monica, Ravindra Jain",https://www.imdb.com/title/tt0397739,
Zabak,(1961),8,Homi Wadia,Basant,"Mahipal, Shyama, Sahira, Achla Sachdev, Manhar Desai, W M  Khan, Uma Dutt, Krishan Kumari, B M Vyas, Adeeb, Babu Raje",Prem Dhawan,Chitragupta,"Balbir, Geeta Dutt, Lata Mangeshkar, Mahendra Kapoor, Mohammed Rafi, Mukesh","https://www.imdb.com/title/tt0372038, http://en.wikipedia.org/wiki/Zabak",https://www.youtube.com/watch?v=cvVELNm7juU
Zakhmee,(1975),5,Raja Thakur,"Tahir Hussain, Thakur","Sunil Dutt, Asha Parekh, Tariq, Reena Roy, Helen, Agha, Rakesh Roshan, Johny Walker, Iftekhar, Jankidas, Kamal Kapoor, Yunus Parvez, Piloo Wadia, Imtiaz Khan, Baby Pinky, Habib, Madhu Sharma, Shyam Kumar, Babul, Ghulam Hussain, Babu Bhai, Navin Kumar, Sujata, Vikrant, Vijaykanth, Shahid Bijnouri, Chandrashekhar",Gauhar Kanpuri,"Bappi Lahiri, Anil Mohile, Arun Paudwal","Asha Bhosle, Bappi Lahiri, Kishore Kumar, Lata Mangeshkar, Mohammed Rafi, Sushma","https://www.imdb.com/title/tt0073923, http://en.wikipedia.org/wiki/Zakhmee",
Zamaana Deewana,(1995),11,Ramesh Sippy,G P Sippy,"Shahrukh Khan, Jeetendra, Raveena Tandon, Shatrughan Sinha, Anupam Kher, Tinu Anand, Prem Chopra, Kiran Juneja, Neelima Azim, Beena, Aasif Sheikh, Ghanshyam, Sudhir",Sameer,Nadeem Shravan,"Alka Yagnik, Kumar Sanu, Vinod Rathod, Udit Narayan, Sapna Mukherjee, Alisha Chinai, Bali Brahmbhatt","https://www.imdb.com/title/tt0115042, http://en.wikipedia.org/wiki/Zamaana_Deewana",https://www.youtube.com/watch?v=6A3Wnnnuv9c
